id,NAME,PERSON,LOCATION,SIGHTED
1,California flannelbush,Jennifer,Scodie Mountains,6/26/2006
2,Pale owls clover,Jennifer,Frog Meadows Guard Station,6/1/2006
3,Draperia,Jennifer,Steve Spring,9/23/2006
4,Sheltons violet,Jennifer,Covington Mountain,6/18/2006
5,One-seeded pussy paws,Jennifer,Scodie Mountains,5/29/2006
6,Ithuriels spear,Jennifer,Scodie Mountains,6/7/2006
7,Primrose monkeyflower,Jennifer,Bright Star Mine,5/19/2006
8,Yellow-and-white monkeyflower,Jennifer,Piute Peak,4/18/2006
9,Large false Solomons seal,Jennifer,Piute Lookout,6/27/2006
10,Showy Jacobs ladder,Jennifer,Grouse Meadow,6/27/2006
11,Douglas dustymaiden,Jennifer,Burton Mill,5/29/2006
12,Varied-leaved jewelflower,Jennifer,Breckenridge Mountain,5/27/2006
13,Death camas,Jennifer,Scodie Mountains,7/9/2006
14,Broad-seeded rock-cress,Jennifer,Double Mountain,6/16/2006
15,Diamond clarkia,Jennifer,Puerto del Suelo,6/20/2006
16,Leopard lily,Jennifer,Burton Mill,7/25/2006
17,Torreys lomatium,Jennifer,Puerto del Suelo,9/21/2006
18,Alpine penstemon,Jennifer,Scodie Mountains,8/21/2006
19,Alpine sheep sorrel,Jennifer,Camp Alto Campground,6/15/2006
20,Woodland star,Jennifer,Mack Meadow,8/8/2006
21,Rangers buttons,Jennifer,Breckenridge Fire Tower,7/18/2006
22,Doves-foot geranium,Jennifer,The George Lodge,5/3/2006
23,Globe gilia,Jennifer,Puerto del Suelo,7/23/2006
24,Canyon dudleya,Jennifer,Moreland Mill,7/12/2006
25,Red mountain heather,Jennifer,The George Lodge,6/20/2006
26,Hartwegs wild ginger,Jennifer,Piute Lookout,5/18/2006
27,Snow plant,Jennifer,Scodie Mountains,6/9/2006
28,Alpine lewisia,Jennifer,Piute Lookout,5/25/2006
29,Cow parsnip,Jennifer,Liebel Peak,6/29/2006
30,Sierra daisy,Jennifer,Double Mountain,8/12/2006
31,Bridges gilia,Jennifer,Don Levy Mine,6/28/2006
32,Sierra Nevada rush,Jennifer,Gwynnette Mine,8/10/2006
33,Purple penstemon,Jennifer,Piute Lookout,6/30/2006
34,Mud sedge,Jennifer,Alaska Flat,5/17/2006
35,Showy milkweed,Jennifer,Sawtooth Peak,7/18/2006
36,Kings sandwort,Jennifer,Sorrell Peak,6/30/2006
37,Ithuriels spear,Jennifer,Double Mountain,8/20/2006
38,One-seeded pussy paws,Jennifer,Scodie Mountains,5/7/2006
39,Alpine sheep sorrel,Jennifer,Scodie Mountains,9/26/2006
40,Varied-leaved jewelflower,Jennifer,San Emigdio Mountain,5/26/2006
41,Primrose monkeyflower,Jennifer,Puerto del Suelo,7/11/2006
42,Rangers buttons,Jennifer,Sorrell Peak,5/8/2006
43,Leopard lily,Jennifer,Piute Lookout,7/27/2006
44,Torreys lomatium,Jennifer,Alaska Flat,5/13/2006
45,Tinkers penny,Jennifer,Campo Alto Campground,6/30/2006
46,Sheltons violet,Jennifer,Burton Mill,7/1/2006
47,Bridges gilia,Jennifer,Don Levy Mine,6/15/2006
48,Broad-seeded rock-cress,Jennifer,Scodie Mountains,6/26/2006
49,Sierra stonecrop,Jennifer,Alaska Flat,7/7/2006
50,Death camas,Jennifer,Alaska Flat,6/9/2006
51,Alpine penstemon,Jennifer,Burton Mill,5/21/2006
52,Showy Jacobs ladder,Jennifer,McGill Campground,6/3/2006
53,Butter and eggs,Jennifer,Don Levy Mine,6/29/2006
54,Sierra daisy,Jennifer,Breckenridge Fire Tower,5/20/2006
55,Douglas dustymaiden,Jennifer,Scodie Mountains,5/19/2006
56,Cow parsnip,Jennifer,Black Mountain,7/9/2006
57,Pale owls clover,Jennifer,Alaska Flat,7/11/2006
58,Woodland star,Jennifer,Bright Star Mine,6/22/2006
59,Cow parsnip,Jennifer,Puerto del Suelo,7/12/2006
60,Sierra stonecrop,Jennifer,Inspiration Point,6/3/2006
61,Sheltons violet,Jennifer,Campo Alto Campground,9/2/2006
62,Primrose monkeyflower,Jennifer,Mack Meadow,9/26/2006
63,Broad-seeded rock-cress,Jennifer,Alaska Flat,7/11/2006
64,Douglas dustymaiden,Jennifer,Black Mountain,6/7/2006
65,Ithuriels spear,Jennifer,Frog Meadows Campground,6/28/2006
66,Showy Jacobs ladder,Jennifer,Don Levy Mine,7/11/2006
67,Death camas,Jennifer,Don Levy Mine,6/24/2006
68,Leopard lily,Jennifer,Inmans,6/23/2006
69,Pale owls clover,Jennifer,Scodie Mountains,6/2/2006
70,California flannelbush,Jennifer,Puerto del Suelo,5/23/2006
71,Red mountain heather,Jennifer,Piute Lookout,6/29/2006
72,Woodland star,Jennifer,Owens Peak,8/17/2006
73,One-seeded pussy paws,Jennifer,Tehachapi Mountain,8/13/2006
74,Alpine columbine,Jennifer,Bright Star Mine,7/11/2006
75,Varied-leaved jewelflower,Jennifer,Piute Lookout,8/9/2006
76,Torreys lomatium,Jennifer,King Solomons Ridge,4/16/2006
77,Tinkers penny,Jennifer,Scodie Mountains,6/3/2006
78,Alpine penstemon,Jennifer,Piute Lookout,5/26/2006
79,Large-leaved lupine,Jennifer,Alaska Flat,6/18/2006
80,Rangers buttons,Jennifer,Scodie Mountains,7/21/2006
81,One-sided wintergreen,Jennifer,Alaska Flat,6/9/2006
82,Condensed phlox,Jennifer,Breckenridge Mountain,8/1/2006
83,Doves-foot geranium,Jennifer,Skinner Peak,5/25/2006
84,Globe gilia,Jennifer,Puerto del Suelo,6/12/2006
85,Diamond clarkia,Jennifer,Brush Mountain,6/16/2006
86,Canyon dudleya,Jennifer,Steve Spring,9/28/2006
87,Large false Solomons seal,Jennifer,Liebel Peak,6/25/2006
88,Hartwegs wild ginger,Jennifer,Sorrell Peak,8/27/2006
89,Alpine lewisia,Jennifer,Breckenridge Fire Tower,5/29/2006
90,Sierra Nevada rush,Jennifer,McGill Campground,7/29/2006
91,Bridges gilia,Jennifer,Liebel Peak,6/18/2006
92,Alpine sheep sorrel,Jennifer,Scodie Mountains,8/1/2006
93,Mud sedge,Jennifer,Brown Peak,7/18/2006
94,Alpine penstemon,Jennifer,Frog Meadows Guard Station,7/22/2006
95,One-seeded pussy paws,Jennifer,Alaska Flat,5/14/2006
96,California flannelbush,Jennifer,Lone Star Mine,5/9/2006
97,Canyon dudleya,Jennifer,Breckenridge Mountain,6/3/2006
98,Broad-seeded rock-cress,Jennifer,Burton Mill,5/28/2006
99,Woodland star,Jennifer,Scodie Mountains,6/14/2006
100,Rangers buttons,Jennifer,Bright Star Mine,7/22/2006
101,Butter and eggs,Jennifer,Piute Lookout,5/15/2006
102,Showy Jacobs ladder,Jennifer,Scodie Mountains,6/8/2006
103,Ithuriels spear,Jennifer,Covington Mountain,5/17/2006
104,Primrose monkeyflower,Jennifer,Steve Spring,6/1/2006
105,Sheltons violet,Jennifer,Piute Lookout,6/21/2006
106,Douglas dustymaiden,Jennifer,Grouse Meadow,5/6/2006
107,Pale owls clover,Jennifer,Don Levy Mine,7/15/2006
108,Torreys lomatium,Jennifer,Liebel Peak,5/19/2006
109,Death camas,Jennifer,Piute Lookout,5/7/2006
110,Alpine sheep sorrel,Jennifer,Chula Vista Campground,7/20/2006
111,Varied-leaved jewelflower,Jennifer,Burton Mill,7/8/2006
112,Leopard lily,Jennifer,Scodie Mountains,7/4/2006
113,Doves-foot geranium,Jennifer,Tehachapi Mountain,8/10/2006
114,Globe gilia,Jennifer,King Solomons Ridge,6/14/2006
115,Large false Solomons seal,Jennifer,Breckenridge Fire Tower,6/10/2006
116,Hartwegs wild ginger,Jennifer,Cerro Noroeste,8/4/2006
117,Alpine lewisia,Jennifer,Puerto del Suelo,7/25/2006
118,Cow parsnip,Jennifer,Breckenridge Mountain,6/1/2006
119,Bridges gilia,Jennifer,Bright Star Mine,6/23/2006
120,Purple penstemon,Jennifer,Scodie Mountains,9/22/2006
121,Sierra angelica,Jennifer,Covington Mountain,8/22/2006
122,Sierra Nevada rush,Jennifer,Sawtooth Peak,5/13/2006
123,Mud sedge,Jennifer,Sorrell Peak,8/20/2006
124,Draperia,Jennifer,Mount Jenkins,7/3/2006
125,Showy milkweed,Jennifer,Scodie Mountains,5/12/2006
126,Sierra stonecrop,Jennifer,King Solomons Ridge,5/21/2006
127,Hoary buckwheat,Jennifer,Scodie Mountains,5/12/2006
128,Ithuriels spear,Jennifer,Scodie Mountains,7/3/2006
129,Bridges gilia,Maria,Chula Vista Campground,6/26/2006
130,Oak violet,Maria,Don Levy Mine,6/1/2006
131,California flannelbush,Maria,Scodie Mountains,6/2/2006
132,Condensed phlox,Maria,Sawtooth Peak,5/7/2006
133,Douglas dustymaiden,Maria,Piute Lookout,7/11/2006
134,Pale owls clover,Maria,Covington Mountain,6/28/2006
135,Diamond clarkia,Maria,Cerro Noroeste,7/16/2006
136,Primrose monkeyflower,Maria,Double Mountain,8/10/2006
137,Sheltons violet,Maria,Campo Alto Campground,8/1/2006
138,Showy Jacobs ladder,Maria,Inmans,5/2/2006
139,Death camas,Maria,Scodie Mountains,6/4/2006
140,Broad-seeded rock-cress,Maria,Tehachapi Mountain,5/17/2006
141,Woodland star,Maria,Cerro Noroeste,9/12/2006
142,One-seeded pussy paws,Maria,Double Mountain,9/14/2006
143,Varied-leaved jewelflower,Maria,Scodie Mountains,6/4/2006
144,Cow parsnip,Maria,Puerto del Suelo,5/14/2006
145,Leopard lily,Maria,Chula Vista Campground,8/14/2006
146,Torreys lomatium,Maria,Piute Peak,5/15/2006
147,Alpine penstemon,Maria,Mack Meadow,9/13/2006
148,Rangers buttons,Maria,Moreland Mill,7/22/2006
149,Doves-foot geranium,Maria,Alaska Flat,9/17/2006
150,Globe gilia,Maria,Liebel Peak,7/14/2006
151,Canyon dudleya,Maria,Frog Meadows Campground,7/6/2006
152,Large false Solomons seal,Maria,Scodie Mountains,4/20/2006
153,Hartwegs wild ginger,Maria,Lone Star Mine,6/16/2006
154,Alpine lewisia,Maria,Alaska Flat,7/16/2006
155,Alpine sheep sorrel,Maria,Scodie Mountains,9/23/2006
156,Sierra Nevada rush,Maria,Alaska Flat,5/1/2006
157,Mud sedge,Maria,Piute Peak,6/26/2006
158,Draperia,Maria,Scodie Mountains,5/11/2006
159,Showy milkweed,Maria,Cerro Noroeste,6/11/2006
160,Butter and eggs,Maria,Scodie Mountains,8/6/2006
161,Snow plant,Maria,Piute Lookout,7/10/2006
162,Sierra stonecrop,Maria,Scodie Mountains,6/30/2006
163,Sierra daisy,Maria,Alaska Flat,5/16/2006
164,Large-leaved lupine,Maria,Piute Lookout,7/3/2006
165,Hoary buckwheat,Maria,Puerto del Suelo,8/24/2006
166,Sierra angelica,Maria,Grouse Meadow,5/19/2006
167,Alpine columbine,Maria,Chula Vista Campground,8/28/2006
168,Water groundsel,Maria,Piute Lookout,5/19/2006
169,Kings sandwort,Maria,Don Levy Mine,6/1/2006
170,Woolly sunflower,Maria,Don Levy Mine,7/23/2006
171,One-sided wintergreen,Maria,Frog Meadows Campground,6/11/2006
172,Red mountain heather,Maria,Puerto del Suelo,8/14/2006
173,Purple penstemon,Maria,Bright Star Mine,5/23/2006
174,Fireweed,Maria,Cerro Noroeste,5/29/2006
175,Tinkers penny,Maria,Scodie Mountains,7/14/2006
176,Yellow-and-white monkeyflower,Maria,Burton Mill,6/7/2006
177,Lovage,Maria,Burton Mill,5/14/2006
178,Broad-seeded rock-cress,Maria,Cerro Noroeste,4/2/2006
179,Primrose monkeyflower,Maria,Don Levy Mine,6/12/2006
180,Cow parsnip,Maria,Scodie Mountains,6/5/2006
181,Ithuriels spear,Maria,Burton Mill,6/26/2006
182,Death camas,Maria,Inspiration Point,6/7/2006
183,Sierra stonecrop,Maria,Inspiration Point,6/16/2006
184,Sheltons violet,Maria,KBAK-TV,7/6/2006
185,Pale owls clover,Maria,Scodie Mountains,6/12/2006
186,Showy Jacobs ladder,Maria,Burton Mill,8/22/2006
187,Showy milkweed,Maria,Piute Lookout,5/30/2006
188,Oak violet,Maria,Steve Spring,6/28/2006
189,Douglas dustymaiden,Maria,Burton Mill,4/14/2006
190,Canyon dudleya,Maria,Sawtooth Peak,5/8/2006
191,One-seeded pussy paws,Maria,The George Lodge,6/21/2006
192,Varied-leaved jewelflower,Maria,Covington Mountain,4/16/2006
193,Woodland star,Maria,Liebel Peak,5/8/2006
194,Leopard lily,Maria,Scodie Mountains,6/2/2006
195,Bridges gilia,Maria,Don Levy Mine,7/18/2006
196,Torreys lomatium,Maria,Piute Peak,7/5/2006
197,Alpine penstemon,Maria,Inspiration Point,7/16/2006
198,Rangers buttons,Maria,Alaska Flat,8/11/2006
199,Doves-foot geranium,Maria,Chula Vista Campground,6/6/2006
200,Butter and eggs,Maria,Scodie Mountains,5/20/2006
201,Globe gilia,Maria,Moreland Mill,5/1/2006
202,Large false Solomons seal,Maria,Brown Meadow,5/10/2006
203,Hoary buckwheat,Maria,Scodie Mountains,7/26/2006
204,Sheltons violet,Michael,Scodie Mountains,5/26/2006
205,Leopard lily,Michael,Alaska Flat,5/4/2006
206,Douglas dustymaiden,Michael,Bright Star Mine,8/12/2006
207,Ithuriels spear,Michael,Scodie Mountains,9/5/2006
208,Sheltons violet,Michael,Scodie Mountains,4/1/2006
209,Primrose monkeyflower,Michael,Water Gap Spring,7/7/2006
210,Butter and eggs,Michael,Burton Mill,5/21/2006
211,California flannelbush,Michael,Camp Mountain Meadows,6/7/2006
212,Ithuriels spear,Michael,Piute Lookout,6/25/2006
213,Kings sandwort,Michael,Morris Peak,7/8/2006
214,Sheltons violet,Michael,Owens Peak,7/16/2006
215,Oak violet,Michael,Cerro Noroeste,6/22/2006
216,Canyon dudleya,Michael,Alaska Flat,4/13/2006
217,Alpine penstemon,Michael,Scodie Mountains,7/25/2006
218,Cow parsnip,Michael,Lone Star Mine,8/22/2006
219,Showy Jacobs ladder,Michael,The George Lodge,6/12/2006
220,Pale owls clover,Michael,Scodie Mountains,6/24/2006
221,Showy milkweed,Michael,Brown Peak,5/19/2006
222,Douglas dustymaiden,Michael,Brown Peak,5/20/2006
223,Showy Jacobs ladder,Michael,Scodie Mountains,5/24/2006
224,Primrose monkeyflower,Michael,Alaska Flat,8/20/2006
225,Sheltons violet,Michael,Double Mountain,5/27/2006
226,Globe gilia,Michael,Skinner Peak,8/20/2006
227,California flannelbush,Michael,Don Levy Mine,9/14/2006
228,Ithuriels spear,Michael,Tecuya Mountain,5/2/2006
229,Canyon dudleya,Michael,Frog Meadows Campground,7/16/2006
230,Sheltons violet,Michael,Puerto del Suelo,4/22/2006
231,Varied-leaved jewelflower,Michael,Sorrell Peak,6/28/2006
232,Showy milkweed,Michael,Scodie Mountains,6/22/2006
233,Sierra stonecrop,Michael,Alaska Flat,6/4/2006
234,Ithuriels spear,Michael,Alaska Flat,6/28/2006
235,Sheltons violet,Michael,Piute Lookout,6/16/2006
236,California flannelbush,Michael,Burton Mill,6/24/2006
237,Leopard lily,Michael,Puerto del Suelo,6/7/2006
238,Pale owls clover,Michael,Morris Peak,6/29/2006
239,Broad-seeded rock-cress,Michael,McGill Campground,9/11/2006
240,Leopard lily,Michael,Owens Peak,6/5/2006
241,Alpine penstemon,Michael,Inmans,8/1/2006
242,Sheltons violet,Michael,McGill Campground,5/21/2006
243,Sheltons violet,Michael,Puerto del Suelo,4/4/2006
244,Primrose monkeyflower,Michael,Scodie Mountains,5/24/2006
245,Showy Jacobs ladder,Michael,Alaska Flat,5/8/2006
246,California flannelbush,Michael,Breckenridge Mountain,6/22/2006
247,Ithuriels spear,Michael,Scodie Mountains,5/21/2006
248,Large-leaved lupine,Michael,Inspiration Point,8/23/2006
249,California flannelbush,Michael,KBAK-TV,8/20/2006
250,Varied-leaved jewelflower,Michael,Alaska Flat,5/10/2006
251,California flannelbush,Helen,Scodie Mountains,4/13/2006
252,Woodland star,Helen,Cold Spring,8/19/2006
253,Sierra Nevada rush,Helen,Cold Spring,8/24/2006
254,Ithuriels spear,Helen,Cold Spring,8/3/2006
255,Primrose monkeyflower,Helen,Scodie Mountains,6/5/2006
256,Fireweed,Helen,Liebel Peak,5/11/2006
257,Varied-leaved jewelflower,Helen,Scodie Mountains,6/26/2006
258,Sheltons violet,Helen,Covington Mountain,8/29/2006
259,Kings sandwort,Helen,Alaska Flat,7/5/2006
260,Alpine penstemon,Helen,Alaska Flat,5/30/2006
261,Showy Jacobs ladder,Helen,Bright Star Mine,5/25/2006
262,Torreys lomatium,Helen,Liebel Peak,6/26/2006
263,Condensed phlox,Helen,Covington Mountain,9/19/2006
264,Sheltons violet,Helen,Alaska Flat,6/8/2006
265,One-seeded pussy paws,Helen,Bright Star Mine,6/28/2006
266,Death camas,Helen,Liebel Peak,5/11/2006
267,Primrose monkeyflower,Helen,Alaska Flat,6/25/2006
268,Ithuriels spear,Helen,Don Levy Mine,5/7/2006
269,California flannelbush,Helen,Breckenridge Fire Tower,6/26/2006
270,Kings sandwort,Helen,Piute Lookout,6/20/2006
271,Cow parsnip,Helen,Bright Star Mine,7/27/2006
272,Showy Jacobs ladder,Helen,Campo Alto Campground,7/25/2006
273,Douglas dustymaiden,Helen,Bright Star Mine,7/23/2006
274,Showy milkweed,Helen,Sorrell Peak,5/13/2006
275,Canyon dudleya,Helen,Alaska Flat,7/8/2006
276,Pale owls clover,Helen,Piute Lookout,9/18/2006
277,Broad-seeded rock-cress,Helen,Scodie Mountains,7/22/2006
278,Varied-leaved jewelflower,Helen,King Solomons Ridge,6/5/2006
279,Leopard lily,Helen,Bright Star Mine,6/13/2006
280,Torreys lomatium,Helen,Piute Lookout,6/6/2006
281,Yellow-and-white monkeyflower,Helen,Burton Mill,6/17/2006
282,Alpine penstemon,Helen,Puerto del Suelo,6/6/2006
283,Woodland star,Helen,Water Gap Spring,6/30/2006
284,Rangers buttons,Helen,Piute Peak,5/13/2006
285,Doves-foot geranium,Helen,Piute Lookout,6/7/2006
286,Large-leaved lupine,Helen,Bright Star Mine,5/30/2006
287,Globe gilia,Helen,The George Lodge,5/4/2006
288,Large false Solomons seal,Helen,Grouse Mountain,7/21/2006
289,Hartwegs wild ginger,Helen,Bright Star Mine,8/5/2006
290,One-sided wintergreen,Helen,Black Mountain,6/2/2006
291,Alpine lewisia,Helen,Bright Star Mine,7/20/2006
292,Bridges gilia,Helen,Breckenridge Fire Tower,6/3/2006
293,Alpine sheep sorrel,Helen,Scodie Mountains,5/1/2006
294,Sierra Nevada rush,Sandra,Piute Lookout,6/4/2006
295,California flannelbush,Sandra,Bright Star Mine,6/2/2006
296,Primrose monkeyflower,Sandra,Brown Meadow,6/20/2006
297,Oak violet,Sandra,Inspiration Point,6/19/2006
298,Sheltons violet,Sandra,Piute Lookout,7/27/2006
299,Rangers buttons,Sandra,Owens Peak,6/2/2006
300,Alpine lewisia,Sandra,Scodie Mountains,9/9/2006
301,California flannelbush,Sandra,Bright Star Mine,8/30/2006
302,Douglas dustymaiden,Sandra,Inspiration Point,8/3/2006
303,Primrose monkeyflower,Sandra,Puerto del Suelo,6/3/2006
304,Leopard lily,Sandra,Alaska Flat,8/13/2006
305,One-seeded pussy paws,Sandra,Sorrell Peak,5/23/2006
306,Pale owls clover,Sandra,Piute Lookout,5/1/2006
307,Alpine lewisia,Sandra,Chula Vista Campground,6/19/2006
308,Douglas dustymaiden,Sandra,Gwynnette Mine,5/9/2006
309,Ithuriels spear,Sandra,Chula Vista Campground,6/2/2006
310,Primrose monkeyflower,Sandra,Liebel Peak,7/27/2006
311,Snow plant,Sandra,Scodie Mountains,5/8/2006
312,Ithuriels spear,Sandra,Scodie Mountains,7/14/2006
313,Varied-leaved jewelflower,Sandra,Inspiration Point,5/8/2006
314,California flannelbush,Sandra,San Emigdio Mountain,5/29/2006
315,Primrose monkeyflower,Sandra,Grouse Mountain,5/29/2006
316,Canyon dudleya,Sandra,Brown Meadow,6/6/2006
317,Alpine lewisia,Sandra,Covington Mountain,7/10/2006
318,Ithuriels spear,Sandra,Puerto del Suelo,5/29/2006
319,Doves-foot geranium,Sandra,Breckenridge Fire Tower,5/23/2006
320,Alpine columbine,Donna,Chula Vista Campground,7/3/2006
321,California flannelbush,Donna,Piute Lookout,9/1/2006
322,Pale owls clover,Donna,San Emigdio Mountain,4/20/2006
323,Ithuriels spear,Donna,Piute Lookout,4/30/2006
324,Primrose monkeyflower,Donna,Breckenridge Mountain,8/23/2006
325,Kings sandwort,Donna,Frog Meadows Campground,6/27/2006
326,Sheltons violet,Donna,Piute Lookout,9/24/2006
327,Sierra angelica,Donna,Puerto del Suelo,6/16/2006
328,Alpine sheep sorrel,Donna,Sorrell Peak,6/16/2006
329,Showy Jacobs ladder,Donna,Skinner Peak,7/13/2006
330,Cow parsnip,Donna,Alaska Flat,6/21/2006
331,Doves-foot geranium,Donna,Puerto del Suelo,6/8/2006
332,Ithuriels spear,Donna,Piute Lookout,8/4/2006
333,Globe gilia,Donna,Scodie Mountains,9/14/2006
334,Primrose monkeyflower,Donna,Tecuya Mountain,7/19/2006
335,California flannelbush,Donna,Scodie Mountains,5/21/2006
336,Broad-seeded rock-cress,Donna,Piute Lookout,5/16/2006
337,Death camas,Donna,Don Levy Mine,8/11/2006
338,Rangers buttons,Donna,Double Mountain,7/7/2006
339,Sierra stonecrop,Donna,Double Mountain,5/1/2006
340,Sheltons violet,Donna,Don Levy Mine,6/18/2006
341,Sierra Nevada rush,Donna,Sorrell Peak,5/20/2006
342,Showy Jacobs ladder,Donna,Scodie Mountains,7/19/2006
343,Alpine penstemon,James,Piute Lookout,5/7/2006
344,Showy Jacobs ladder,James,Don Levy Mine,5/24/2006
345,Condensed phlox,James,Morris Peak,8/10/2006
346,Ithuriels spear,James,Camp Mountain Meadows,5/4/2006
347,Primrose monkeyflower,James,Cerro Noroeste,5/30/2006
348,Sheltons violet,James,Bright Star Mine,7/26/2006
349,California flannelbush,James,Frog Meadows Campground,4/19/2006
350,Douglas dustymaiden,James,Burton Mill,6/27/2006
351,One-seeded pussy paws,James,Don Levy Mine,6/17/2006
352,Pale owls clover,James,Scodie Mountains,6/12/2006
353,Death camas,James,The George Lodge,5/30/2006
354,Broad-seeded rock-cress,James,Piute Spring,7/13/2006
355,Canyon dudleya,James,Piute Peak,5/12/2006
356,Varied-leaved jewelflower,James,Double Mountain,8/14/2006
357,Hoary buckwheat,James,King Solomons Ridge,5/2/2006
358,Purple penstemon,James,Puerto del Suelo,6/2/2006
359,Large false Solomons seal,James,Owens Peak,8/28/2006
360,Leopard lily,James,Don Levy Mine,5/23/2006
361,Sierra daisy,James,Cold Spring,7/7/2006
362,Torreys lomatium,James,Piute Lookout,6/6/2006
363,Woodland star,James,Piute Lookout,4/24/2006
364,Rangers buttons,James,Black Mountain,7/10/2006
365,Death camas,John,Burton Mill,5/21/2006
366,California flannelbush,John,Owens Peak,8/4/2006
367,Showy Jacobs ladder,John,Alaska Flat,5/2/2006
368,Sierra Nevada rush,John,Scodie Mountains,5/22/2006
369,Douglas dustymaiden,John,Owens Peak,7/12/2006
370,California flannelbush,John,Piute Lookout,7/19/2006
371,Primrose monkeyflower,John,Gwynnette Mine,5/29/2006
372,Broad-seeded rock-cress,John,Bright Star Mine,6/24/2006
373,Ithuriels spear,John,Owens Peak,7/22/2006
374,One-seeded pussy paws,John,Don Levy Mine,7/8/2006
375,California flannelbush,John,Piute Lookout,5/16/2006
376,California flannelbush,John,Piute Lookout,8/11/2006
377,Ithuriels spear,John,Scodie Mountains,7/17/2006
378,Sierra daisy,John,Piute Lookout,8/24/2006
379,Primrose monkeyflower,John,Mount Jenkins,6/5/2006
380,Sheltons violet,John,Don Levy Mine,9/23/2006
381,California flannelbush,Robert,Don Levy Mine,6/4/2006
382,Red mountain heather,Robert,Alaska Flat,6/7/2006
383,Torreys lomatium,Robert,Scodie Mountains,9/2/2006
384,Death camas,Robert,Piute Lookout,5/28/2006
385,Ithuriels spear,Robert,Alaska Flat,7/23/2006
386,Hoary buckwheat,Robert,Black Mountain,6/18/2006
387,Torreys lomatium,Robert,Liebel Peak,5/21/2006
388,Showy Jacobs ladder,Robert,Owens Peak,7/21/2006
389,Large-leaved lupine,Robert,Lone Star Mine,5/10/2006
390,California flannelbush,Robert,Cerro Noroeste,5/1/2006
391,Pale owls clover,Robert,Breckenridge Fire Tower,6/19/2006
392,Hartwegs wild ginger,Robert,Brown Peak,6/12/2006
393,Varied-leaved jewelflower,Robert,Piute Lookout,6/3/2006
394,Sheltons violet,Robert,Scodie Mountains,5/13/2006
395,California flannelbush,Robert,The George Lodge,7/22/2006
396,Large false Solomons seal,Michael,Cold Spring,6/29/2006
397,Sheltons violet,Michael,Piute Spring,6/5/2006
398,California flannelbush,Michael,Scodie Mountains,7/10/2006
399,Douglas dustymaiden,Michael,Chula Vista Campground,7/9/2006
400,Ithuriels spear,Michael,Grouse Mountain,7/4/2006
401,Butter and eggs,Michael,Scodie Mountains,6/13/2006
402,Death camas,Michael,Don Levy Mine,6/4/2006
403,Pale owls clover,Michael,Sorrell Peak,6/4/2006
404,Rangers buttons,Michael,Scodie Mountains,7/27/2006
405,Draperia,Michael,Mount Jenkins,5/8/2006
406,Leopard lily,Michael,Chula Vista Campground,5/22/2006
407,California flannelbush,Michael,Camp Mountain Meadows,6/28/2006
408,Large false Solomons seal,Tim,Cold Spring,6/29/2006
409,Sheltons violet,Tim,Piute Spring,6/5/2006
410,California flannelbush,Tim,Scodie Mountains,7/10/2006
411,Douglas dustymaiden,Tim,Chula Vista Campground,7/9/2006
412,Ithuriels spear,Tim,Grouse Mountain,7/4/2006
413,Butter and eggs,Tim,Scodie Mountains,6/13/2006
414,Death camas,Tim,Don Levy Mine,6/4/2006
415,Pale owls clover,Tim,Sorrell Peak,6/4/2006
416,Rangers buttons,Tim,Scodie Mountains,7/27/2006
417,Draperia,Tim,Mount Jenkins,5/8/2006
418,Sheltons violet,Pete,Piute Spring,6/5/2006
419,California flannelbush,Pete,Scodie Mountains,7/10/2006
420,Douglas dustymaiden,Pete,Chula Vista Campground,7/9/2006
421,Ithuriels spear,Pete,Grouse Mountain,7/4/2006
422,Butter and eggs,Pete,Scodie Mountains,6/13/2006
423,Death camas,Pete,Don Levy Mine,6/4/2006
424,Sheltons violet,Brad,Piute Spring,6/5/2006
425,California flannelbush,Brad,Scodie Mountains,7/10/2006
426,Douglas dustymaiden,Brad,Chula Vista Campground,7/9/2006
